account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Monthly expenses;Groceries;EUR;-10.09;-10.09;Expenses;CASH;Cash;;2019-03-29 17:39:05;48.10765;11.72266;19;0;false;Lidl;Household;1000;false
Monthly expenses;Public transport;EUR;-2.90;-2.90;Expenses;CASH;Cash;to jagdfeldring;2019-03-29 16:27:26;48.18603;11.54874;64;0;false;mvv;Household;4000;false
Monthly expenses;Restaurant, fast-food;EUR;-9.00;-9.00;Expenses;CASH;Cash;pizza;2019-03-27 14:50:37;48.10666;11.64388;13;0;false;Domino's;Household;1001;false
Monthly expenses;Vehicle maintenance;EUR;-10.50;-10.50;Expenses;CASH;Cash;car wash;2019-03-27 14:48:44;48.10665;11.64389;15;0;false;;Household;5002;false
Monthly expenses;Internet;EUR;-30.00;-30.00;Expenses;CASH;Cash;;2019-03-27 01:00:00;;;;0;false;Vodafone;;7002;false
Monthly expenses;Groceries;EUR;-14.83;-14.83;Expenses;CASH;Cash;turkish grocery;2019-03-25 19:30:24;48.19638;11.67841;1860;0;false;;Household;1000;false
Monthly expenses;Groceries;EUR;-3.98;-3.98;Expenses;CASH;Cash;chocolate;2019-03-25 12:43:18;48.18371;11.53803;44;0;false;kaufhof;Household;1000;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-25 12:42:59;48.18323;11.53688;18;0;false;;Household;1001;false
Monthly expenses;Restaurant, fast-food;EUR;-22.50;-22.50;Expenses;CASH;Cash;zuckspitze;2019-03-23 17:33:47;47.4912;11.08493;50;0;false;pizza hut;Household;1001;false
Monthly expenses;Parking;EUR;-5.00;-5.00;Expenses;CASH;Cash;zuckspitze;2019-03-23 17:33:30;47.4912;11.08493;50;0;false;;Household;5001;false
Monthly expenses;Electronics, accessories;EUR;-14.99;-14.99;Expenses;CASH;Cash;fifa 18;2019-03-22 13:13:23;48.18313;11.53703;18;0;false;game stop;Household;2006;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-22 13:12:51;48.18325;11.53666;15;0;false;;Household;1001;false
Monthly expenses;Restaurant, fast-food;EUR;-50.00;-50.00;Expenses;CASH;Cash;dinner with russell;2019-03-19 23:09:27;48.10555;11.72589;15;0;false;Little India;Household;1001;false
Monthly expenses;Skype;EUR;-14.28;-14.28;Expenses;CASH;Cash;;2019-03-19 01:00:00;;;;0;false;PayPal;;7005;true
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-18 12:41:50;;;;0;false;;Household;1001;false
Monthly expenses;Groceries;EUR;-13.88;-13.88;Expenses;CASH;Cash;;2019-03-16 18:14:26;48.10953;11.71751;28;0;false;Aldi;Household;1000;false
Monthly expenses;Internet;EUR;-19.95;-19.95;Expenses;CASH;Cash;temporary internet;2019-03-16 00:27:10;48.10615;11.72553;16;0;false;Telecom Fon;Household;7002;false
Monthly expenses;Groceries;EUR;-6.52;-6.52;Expenses;CASH;Cash;;2019-03-15 16:03:17;48.10733;11.72265;19;0;false;lidl;Household;1000;false
Monthly expenses;Wellness, beauty;EUR;-14.00;-14.00;Expenses;CASH;Cash;haircut asish;2019-03-15 15:54:07;48.10764;11.7228;16;0;false;;Household;6001;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-14 13:03:18;48.1062;11.72566;18;0;false;;Household;1001;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-13 13:02:44;48.1062;11.72566;15;0;false;;Household;1001;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-12 12:57:23;48.18346;11.53465;16;0;false;;Household;1001;false
Monthly expenses;Groceries;EUR;-14.50;-14.50;Expenses;CASH;Cash;;2019-03-11 17:02:04;48.1062;11.72566;18;0;false;Haat Bazaar;Household;1000;false
Monthly expenses;Restaurant, fast-food;EUR;-4.50;-4.50;Expenses;CASH;Cash;turkish lunch;2019-03-11 12:45:02;48.1871;11.54372;15;0;false;;Household;1001;false
Monthly expenses;Energy, utilities;EUR;-30.00;-30.00;Expenses;CASH;Cash;;2019-03-11 01:00:00;;;;0;false;Enbw;;3002;false
Monthly expenses;Restaurant, fast-food;EUR;-7.00;-7.00;Expenses;CASH;Cash;pizza;2019-03-10 16:17:50;48.06325;11.66224;17;0;false;Domino's;Household;1001;false
Monthly expenses;Phone, cell phone;EUR;-10.00;-10.00;Expenses;CASH;Cash;mobile (anwasha);2019-03-10 01:00:00;;;;0;false;Drillisch;;7001;false
Monthly expenses;Phone, cell phone;EUR;-10.00;-10.00;Expenses;CASH;Cash;mobile (asish);2019-03-10 01:00:00;;;;0;false;Drillisch;;7001;false
